iter	RMSE
162	9509.044552
163	9499.790395
164	9493.128368
165	9476.611683
166	9469.367203
167	9464.465461
168	9449.429002
169	9439.880039
170	9425.024761
171	9419.66994
172	9410.145513
173	9404.233424
174	9393.233973
175	9385.904979
176	9377.193377
177	9372.796439
178	9359.076502
179	9355.307684
180	9344.554578
181	9335.503232
182	9327.542582
183	9312.561948
184	9294.753117
185	9290.107472
186	9275.716639
187	9267.013989
188	9258.671806
189	9252.115293
190	9250.273897
191	9238.64693
192	9231.039897
193	9224.091811
194	9216.17671
195	9212.892694
196	9210.219666
197	9200.110446
198	9195.260246
199	9186.534275
200	9179.685203
201	9174.713185
202	9169.478595
203	9163.60692
204	9157.630346
205	9148.270419
206	9141.071191
207	9134.78833
208	9132.066259
209	9127.084083
210	9118.134362
211	9112.441707
212	9107.884312
213	9102.491388
214	9095.145063
215	9087.529307
216	9084.316931
217	9080.614086
218	9073.675682
219	9068.615389
220	9060.868114
221	9056.505535
222	9044.361394
223	9042.401476
224	9036.515365
225	9031.518809
226	9022.045621
227	9015.532932
228	9012.330191
229	9006.057921
230	8999.082968
231	8995.028961
232	8993.126814
233	8984.492806
234	8974.999422
235	8970.451796
236	8964.661987
237	8960.186953
238	8954.463962
239	8942.607745
240	8933.827548
241	8927.610648
242	8922.303667
243	8910.98555
244	8904.311415
245	8893.929743
246	8888.547391
247	8879.112838
248	8873.38153
249	8865.938536
250	8859.687341
251	8854.650061
252	8847.921973
253	8844.12977
254	8838.455434
255	8834.83497
256	8832.784455
257	8828.40276
258	8820.387893
259	8814.907513
260	8811.326934
261	8803.306228
262	8799.299007
263	8792.137561
264	8788.803775
265	8785.90809
266	8780.476239
267	8777.557372
268	8773.555731
269	8769.822879
270	8759.880318
271	8752.904215
272	8749.152184
273	8746.79157
274	8741.520641
275	8734.504162
276	8731.309009
277	8726.739413
278	8722.295757
279	8720.636773
280	8714.081677
281	8711.254646
282	8706.601371
283	8700.534439
284	8695.891534
285	8688.336166
286	8685.067147
287	8677.956841
288	8674.889233
289	8666.09936
290	8659.461342
291	8653.768897
292	8651.521626
293	8645.023038
294	8640.370346
295	8636.915737
296	8633.122283
297	8625.831334
298	8618.978152
299	8615.52647
300	8610.245987
301	8603.861872
302	8594.942533
303	8591.111833
304	8583.968014
305	8579.409535
306	8573.450729
307	8567.495461
308	8560.991518
309	8556.879967
310	8555.59307
311	8548.030531
312	8543.763143
313	8540.658199
314	8534.056284
315	8528.492391
316	8522.520613
317	8518.001501
318	8512.680516
319	8507.836015
320	8504.583121
321	8500.512409
322	8497.17947
323	8491.957755
324	8487.336694
325	8482.659173
326	8478.103341
327	8474.014642
328	8471.15741
329	8468.922048
330	8464.608167
331	8460.18019
332	8455.520881
333	8450.505526
334	8445.096152
335	8441.614764
336	8436.505237
337	8433.015705
338	8429.80131
339	8426.821595
340	8425.086319
341	8421.948402
342	8417.359812
343	8415.322166
344	8412.548941
345	8409.776055
346	8406.096306
347	8403.225074
348	8401.360441
349	8398.452475
350	8396.016019
351	8391.102611
352	8384.387651
353	8380.220255
354	8376.374444
355	8373.016298
356	8371.972619
357	8367.214034
358	8364.571583
359	8357.236281
360	8355.278509
361	8351.239921
362	8348.78279
363	8345.438182
364	8342.861846
365	8339.395154
366	8338.007685
367	8334.472425
368	8331.435831
369	8328.663328
370	8326.190757
371	8325.5999
372	8318.132021
373	8311.800945
374	8305.201962
375	8299.460161
376	8294.403184
377	8291.932383
378	8288.376207
379	8284.594897
380	8278.738726
381	8274.515802
382	8271.085577
383	8268.917622
384	8264.563303
385	8263.411895
386	8257.511737
387	8254.847147
388	8253.681083
389	8250.257031
390	8246.328746
391	8241.5554
392	8237.895975
393	8235.885404
394	8234.625277
395	8229.396127
396	8228.088754
397	8225.868085
398	8220.05427
399	8217.614125
400	8211.922183
401	8209.519862
402	8206.605161
403	8204.086634
404	8202.787895
405	8195.036535
406	8191.30255
407	8189.488576
408	8183.330786
409	8175.483147
410	8170.01629
411	8167.289847
412	8161.437666
413	8158.155449
414	8155.318937
415	8151.542661
416	8147.990557
417	8145.097249
418	8139.767952
419	8136.561379
420	8134.406377
421	8130.778229
422	8129.205979
423	8125.052542
424	8120.23798
425	8112.805098
426	8110.116699
427	8104.649449
428	8099.082112
429	8095.852357
430	8093.814548
431	8088.612073
432	8081.662263
433	8080.8488
434	8076.508967
435	8072.308888
436	8065.926657
437	8063.354645
438	8057.808718
439	8055.712398
440	8052.614869
441	8048.793453
442	8041.579368
443	8035.383584
444	8032.799725
445	8027.698195
446	8025.947554
447	8022.704781
448	8020.385546
449	8015.78358
450	8011.335529
451	8008.225357
452	8004.616126
453	7998.017079
454	7993.252795
455	7990.367219
456	7985.284031
457	7982.6461
458	7979.633872
459	7976.857872
460	7974.885897
461	7972.801652
462	7970.051476
463	7965.338417
464	7963.147168
465	7959.60351
466	7955.137016
467	7951.391941
468	7948.412933
469	7945.951303
470	7943.059176
471	7938.899432
472	7935.557775
473	7933.264901
474	7930.12987
475	7927.145654
476	7921.906427
477	7918.938749
478	7916.458745
479	7914.122656
480	7912.658155
481	7908.86021
482	7906.499905
483	7904.120853
484	7899.183212
485	7896.367852
486	7892.907539
487	7889.59453
488	7885.047579
489	7880.67129
490	7877.454468
491	7873.855751
492	7869.45037
493	7868.11152
494	7865.683378
495	7863.243455
496	7861.537191
497	7858.733873
498	7856.499992
499	7850.761419
